group,n,mean_plddt,mean_oracle,mean_mahal,mean_glp_resid
sol_easy_L17_a1_GLP_u0.7,100,0.6300236701965332,0.2486857650808,1212.3704650878906,156.0728054046631
sol_easy_L17_a1,100,0.6560992673039436,0.3010712473426,1219.0103741455077,155.7476605987549
sol_easy_L17_a1_GLP_u1.0,100,0.6575002598762513,0.3064139672863,1219.3780639648437,155.8552596282959
sol_easy_L17_a1_GLP_u0.8,100,0.6475040677189827,0.2802809005254,1234.8546246337892,156.39597877502442
sol_easy_L17_a1_GLPmask_u0.9,100,0.6559585165977478,0.27187394765382,1236.0947106933593,156.60199867248537
sol_easy_L17_a0,100,0.6611479875445366,0.27957834551030003,1239.3721920776368,156.9321945953369
sol_easy_L17_a0_GLP_u1.0,100,0.6618267837166786,0.270778208982,1239.776371459961,156.85397186279297
sol_easy_L17_a1_full500,500,0.6617092779278755,,1241.1326091308595,156.97909036254882
sol_easy_L17_a1_GLPmask_u0.7,100,0.6475309789180755,0.2860281651335,1241.6450076293945,156.70847854614257
sol_easy_L17_a1_GLPmask_u0.8,100,0.6450040051341057,0.2893988560185,1243.400523376465,157.00197036743165
sol_easy_allL_a10_L17GLP_u0.5,100,0.5214129021763801,0.9718857919,1359.0067041015625,151.0284437561035
sol_easy_allL_a10,100,0.5146442815661431,0.9690690531999999,1373.474207763672,151.05170944213867
